,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id,head_dim
270,BiAttentionClassifyModel,42.0,0.0,base,0.595976,0.798205,0.793004,0.818237,0.798205,4.115489,0.602966,0.795597,0.792316,0.818512,0.795597,4.121212,0.2,distilbert-base-uncased,100.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
271,BiAttentionClassifyModel,42.0,0.0,base,0.592798,0.796825,0.793046,0.817235,0.796825,3.061857,0.597168,0.797822,0.793418,0.816414,0.797822,3.068338,0.2,distilbert-base-uncased,100.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
272,BiAttentionClassifyModel,42.0,0.0,base,0.538753,0.812625,0.810129,0.834571,0.812625,3.758498,0.528232,0.818837,0.816399,0.8399,0.818837,3.769358,0.2,distilbert-base-uncased,512.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
273,BiAttentionClassifyModel,42.0,0.0,base,0.776726,0.769213,0.771927,0.811797,0.769213,3.279986,0.785554,0.764841,0.767603,0.807853,0.764841,3.286291,0.5,glove,100.0,10.0,1.0,gru,MIND15/keep_all/BiAttentionClassifyModel,30.0
274,BiAttentionClassifyModel,25.0,0.0,base,0.706776,0.769673,0.756893,0.777824,0.769673,0.212117,0.709802,0.771744,0.758037,0.778377,0.771744,0.211842,0.2,glove,100.0,160.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
275,BiAttentionClassifyModel,2021.0,0.0,base,0.708899,0.761697,0.753858,0.778987,0.761697,0.313063,0.710824,0.763154,0.757633,0.785166,0.763154,0.313142,0.2,glove,100.0,160.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
276,BiAttentionClassifyModel,2020.0,0.0,base,0.689043,0.771898,0.758889,0.780265,0.771898,0.350549,0.694095,0.772588,0.759657,0.777407,0.772588,0.348998,0.2,glove,100.0,160.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
277,BiAttentionClassifyModel,42.0,0.0,base,0.707571,0.767756,0.753069,0.772459,0.767756,0.317639,0.700791,0.767372,0.755862,0.777008,0.767372,0.31725,0.2,glove,100.0,160.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
278,BiAttentionClassifyModel,4.0,0.0,base,0.707717,0.766529,0.75698,0.779319,0.766529,0.231496,0.704445,0.766068,0.760185,0.786744,0.766068,0.23145,0.2,glove,100.0,180.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
279,BiAttentionClassifyModel,25.0,0.0,base,0.714207,0.764074,0.753031,0.774668,0.764074,0.179715,0.705995,0.769213,0.758546,0.780472,0.769213,0.179794,0.2,glove,100.0,180.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
280,BiAttentionClassifyModel,2021.0,0.0,base,0.710216,0.763231,0.751447,0.771735,0.763231,0.213965,0.705677,0.771898,0.759189,0.776974,0.771898,0.213257,0.2,glove,100.0,180.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
281,BiAttentionClassifyModel,2020.0,0.0,base,0.697387,0.76929,0.753252,0.772125,0.76929,0.276844,0.691365,0.77021,0.75435,0.77215,0.77021,0.276155,0.2,glove,100.0,180.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
282,BiAttentionClassifyModel,42.0,0.0,base,0.721154,0.766759,0.755079,0.775379,0.766759,0.205699,0.71784,0.766989,0.758306,0.780791,0.766989,0.204974,0.2,glove,100.0,180.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
283,BiAttentionClassifyModel,4.0,0.0,base,0.718239,0.765608,0.752312,0.77414,0.765608,0.79814,0.712997,0.765148,0.752711,0.774539,0.765148,0.797795,0.2,glove,100.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
284,BiAttentionClassifyModel,25.0,0.0,base,0.717222,0.772281,0.759884,0.781253,0.772281,0.232062,0.707532,0.773048,0.761605,0.782109,0.773048,0.232356,0.2,glove,100.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
285,BiAttentionClassifyModel,2021.0,0.0,base,0.701393,0.766605,0.756147,0.780261,0.766605,0.588357,0.694437,0.768906,0.758496,0.780979,0.768906,0.588781,0.2,glove,100.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
286,BiAttentionClassifyModel,2020.0,0.0,base,0.685793,0.773125,0.759519,0.782449,0.773125,1.155025,0.682899,0.773892,0.758581,0.77746,0.773892,1.155107,0.2,glove,100.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
287,BiAttentionClassifyModel,42.0,0.0,base,0.700863,0.770057,0.758867,0.779438,0.770057,1.466,0.691014,0.772051,0.759253,0.777543,0.772051,1.467869,0.2,glove,100.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
288,BiAttentionClassifyModel,4.0,0.0,base,0.698221,0.771054,0.756221,0.774182,0.771054,2.057517,0.68086,0.778417,0.767288,0.787652,0.778417,2.058152,0.2,glove,100.0,120.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
